Beeld,South Africa,https://www.netwerk24.com/beeld,https://www.google.com/search?q=site:https://www.netwerk24.com/beeld+Israel,
BizNews,South Africa,https://www.biznews.com,https://www.google.com/search?q=site:https://www.biznews.com+Israel,
Business Day,South Africa,https://www.businessday.co.za,https://www.google.com/search?q=site:https://www.businessday.co.za+Israel,
Business Day,South Africa,https://www.businesslive.co.za,https://www.google.com/search?q=site:https://www.businesslive.co.za+Israel,
BusinessTech,South Africa,https://businesstech.co.za,https://www.google.com/search?q=site:https://businesstech.co.za+Israel,
Cape Argus,South Africa,https://www.iol.co.za/capeargus,https://www.google.com/search?q=site:https://www.iol.co.za/capeargus+Israel,
Cape Times,South Africa,https://www.iol.co.za/capetimes,https://www.google.com/search?q=site:https://www.iol.co.za/capetimes+Israel,
City Press,South Africa,https://www.citypress.co.za,https://www.google.com/search?q=site:https://www.citypress.co.za+Israel,
Daily Dispatch,South Africa,https://www.dispatchlive.co.za,https://www.google.com/search?q=site:https://www.dispatchlive.co.za+Israel,
Daily Maverick,South Africa,https://www.dailymaverick.co.za,https://www.google.com/search?q=site:https://www.dailymaverick.co.za+Israel,
Daily Sun,South Africa,https://www.dailysun.co.za,https://www.google.com/search?q=site:https://www.dailysun.co.za+Israel,
EWN (Eyewitness News),South Africa,https://ewn.co.za,https://www.google.com/search?q=site:https://ewn.co.za+Israel,
Herald Live,South Africa,https://www.heraldlive.co.za,https://www.google.com/search?q=site:https://www.heraldlive.co.za+Israel,
IOL News,South Africa,https://www.iol.co.za,https://www.google.com/search?q=site:https://www.iol.co.za+Israel,
Mail & Guardian,South Africa,https://www.mg.co.za,https://www.google.com/search?q=site:https://www.mg.co.za+Israel,
Mail & Guardian,South Africa,https://mg.co.za,https://www.google.com/search?q=site:https://mg.co.za+Israel,
New Frame,South Africa,https://www.newframe.com,https://www.google.com/search?q=site:https://www.newframe.com+Israel,
News 24,South Africa,https://www.news24.com,https://www.google.com/search?q=site:https://www.news24.com+Israel,
News24,South Africa,https://www.news24.com,https://www.google.com/search?q=site:https://www.news24.com+Israel,
SABC News,South Africa,https://www.sabcnews.com,https://www.google.com/search?q=site:https://www.sabcnews.com+Israel,
Sowetan,South Africa,https://www.sowetanlive.co.za,https://www.google.com/search?q=site:https://www.sowetanlive.co.za+Israel,
The Citizen,South Africa,https://www.citizen.co.za,https://www.google.com/search?q=site:https://www.citizen.co.za+Israel,
TimesLIVE,South Africa,https://www.timeslive.co.za,https://www.google.com/search?q=site:https://www.timeslive.co.za+Israel,
